Gene,mean_expression,median_expression,category
ENSG00000107099,14390.635379061372,13638.0,high
ENSG00000104824,14570.43321299639,14067.0,high
ENSG00000089280,15041.234657039711,14160.0,high
ENSG00000189403,15383.039711191335,14519.0,high
ENSG00000213719,15919.93501805054,14775.0,high
ENSG00000197043,16839.649819494585,15760.0,high
ENSG00000197694,16643.96389891697,15794.0,high
ENSG00000183283,17014.848375451264,15987.0,high
ENSG00000149806,18656.974729241876,17892.0,high
ENSG00000197111,19610.992779783395,18691.0,high
ENSG00000215301,20201.13357400722,18706.0,high
ENSG00000182944,19410.768953068593,18831.0,high
ENSG00000104894,20146.476534296027,19090.0,high
ENSG00000116754,19999.223826714802,19250.0,high
ENSG00000159140,21081.73285198556,19620.0,high
ENSG00000130402,21465.068592057763,19848.0,high
ENSG00000184640,21985.613718411554,20985.0,high
ENSG00000136942,21961.382671480143,21002.0,high
ENSG00000127603,22483.425992779783,21364.0,high
ENSG00000131236,23161.548736462093,21667.0,high
ENSG00000145425,24786.27797833935,23123.0,high
ENSG00000081237,25675.90974729242,23521.0,high
ENSG00000152795,25705.296028880868,23929.0,high
ENSG00000221983,25293.671480144403,24057.0,high
ENSG00000188846,25547.148014440434,24149.0,high
ENSG00000131469,26820.028880866426,25169.0,high
ENSG00000131051,26590.389891696752,25313.0,high
ENSG00000109475,28155.093862815884,26276.0,high
ENSG00000147065,27843.79061371841,26325.0,high
ENSG00000196531,28817.393501805054,26618.0,high
ENSG00000165119,28262.527075812275,26843.0,high
ENSG00000083845,28582.361010830326,27504.0,high
ENSG00000105193,35109.270758122744,33067.0,high
ENSG00000122026,35456.83754512636,33313.0,high
ENSG00000265681,35541.270758122744,34041.0,high
ENSG00000063177,36859.82671480144,35048.0,high
ENSG00000180353,37687.38628158845,35118.0,high
ENSG00000147162,40254.220216606496,36820.0,high
ENSG00000122406,40243.148014440434,38028.0,high
ENSG00000100650,42461.833935018054,39028.0,high
ENSG00000108107,44581.31046931408,41348.0,high
ENSG00000115524,45822.870036101085,43912.0,high
ENSG00000204628,47114.761732851985,44678.0,high
ENSG00000122566,56252.407942238264,53909.0,high
ENSG00000174444,65259.166064981946,61229.0,high
ENSG00000108654,100075.81588447653,94261.0,high
